"","번호","계정이름","작성일","내용"
"418",418,"kiminhye0","9/4/2012","종북세력들은 의식화 단계는 물론 조직화 단계를 지나 체제전복까지 노릴 정도로 커졌다는게 전문가들 분석이다. 재야에서 활동하던 친북좌파 세력들은 615 선언 을 계기로 제도권에 안착해 국회와 청와대 핵심부까지 진출했다"
"419",419,"odettejoo","9/4/2012","통합진보당의 종북논란의 끝은 어디인가!!

 

최근 4.11 총선기간 ""장군님(김정일 前 북한 국방위원장) 상중이니 술을 자제하라""는 발언을 했다는 통합진보당 소속 전라도 국회의원때문에 또 통합진보당이 종북논란에 휩싸였으니말이다~~"
"420",420,"odettejoo","9/4/2012","북이 노리는 것은천안함과 6.2지방선거 교훈에 입각, 안으로무소속야권단일화란 명목으로 종북대연합을 이루고 밖에서 천안함사건을 능가 할 대규모도발로서 남한국민에게 전쟁에 대한극도의 공포심을 유발시켜“전쟁이냐 평화냐” 구호로 유리하게 결판을 내겠다는 것!"
"421",421,"odettejoo","9/4/2012","사형제도 폐지를 국민인권문제로 포장한 종북주의자들 ,,,동방예의지국이 동방죄악지국으로 변절되어가는 현실을 개탄하는 이들이 전국방방곡곡에서 목소리를 내고 있는 현실을 직시하기를.."
"422",422,"plaza551","9/4/2012","통합진보당의 모 의원이 선거 기간 중 당원들 회식 자리에서 '장군님 상중이니 술은 자제하라'는 이야기를 했다""며 ""여기서 모 의원이 말한 장군은 누구였을까요?"
"423",423,"shore0987","9/4/2012","종북당내 에서도 이 전 대표가 대선에 출마하는걸 만류 한단다. 정치에도 염치가 있다 한다면서 종북당이 언제 염치 따지고 정치를 했는가? 이번 대선출마도 1중대장의 지령에 의한거 아녀? 합법적 공산당을 구축하라는 지령말야??염치를 넘어 후안무치 이구나"
"424",424,"sullifox","9/4/2012","“이정희 대선후보 나가려는건 국고보조금 28억원 타내려는 속셈”http://t.co/Xt97j8cJ"
"425",425,"cocoanykang","9/5/2012","예전에 맥아더 동상 철거시위를 벌였던 ""연방통추"" 의장이 형을 살고 나와 또다시 맥아더 동상 철거시위를 벌이려 하고 있다는 군요. 이런 쓰레기 종북단체를 그대로 두고 본다는게 이해가 안갑니다."
"426",426,"odettejoo","9/5/2012","""덮어놓고 정상회담""으로 우리가 얻을 수 있는 것은 아무것도 없으며, 국민의 혈세로 대북퍼주기 식물 북한을 연명해 주자는 종북주의자들의 선동과 농간에 놀아나는 것말고는 실익이 없다

곽노현 대법원에 선고 연기 요청 ~ 법을 가지고 노는구나!"
"427",427,"odettejoo","9/5/2012","지식인을 자처하는 좌파 인사들이 1년 전과 마찬가지로 사실과 과학을 존중하는 태도 없이 일방적으로 북측을 편드는 언행을 계속하는 데 대해 분노를 금할 수 없다."
"428",428,"odettejoo","9/5/2012","진보 가면을 쓴 종북정당 28억에 눈이 멀었구나? 이정희현행 선거법에 따르면 13석의 의석을 가진 진보당이 대선 후보 등록 기간에 후보를 정식으로 
등록할 경우 약 28억원의 국고보조금을 지급받게 된다..돈타먹으려는 속셈"
"429",429,"odettejoo","9/5/2012","이정희가 출마하면 30억원 가까운 돈이 들어오는데 그걸 구당권파가 놓치겠냐..종북당들의 이런 행태를 보면서 우리나라가 진정한 민주, 법치국가인가 의문이 든다..."
"430",430,"ohmaiy","9/5/2012","좌파매체들이 각급 부대별로 실시중인 ‘종북척결 정신교육’에 대해 정치적 중립을 훼손했다고 반발하는데 북한이 대선개입을 하는 것에는 침묵하더니 군의 당연한 국가관과 안보관 고취를 정치적 의미로 연결 짓는 것이 오히려 전략적인 불순 의도가 있는 것 같다."
"431",431,"sarkoora","9/5/2012","최근 6년 사이에 모국을 찾아 입대하는 젊은이가 1천명을 돌파했다. 미 해병대에서 복무하고도 입대한 경우도 있다. 대한민국 안보를 지키고 진정한 한국인이 되겠다는 도전이다. 이런 애국자들에게 대한민국 안보를 갉아먹는 종북실체를 교육하는 것은 의무이다."
"432",432,"taesan4","9/5/2012","안철수가 최근까지 거주한 용산구 이촌동 한강맨션아파트는 미국 시민권자인 장모의 소유라고...어머니에 이어 장모 덕까지...완전히 금숯가락 물고 결혼 생활 시작했구먼..."
"433",433,"taesan4","9/5/2012","모친 돈으로 사당동 집사고(1988년), 모친 집에 전세살고(도곡동 럭키아파트), 미국 시민권자인 장모 소유 아파트에 거주(2011년)하고...역시 안철수는 캥가루족?"
"434",434,"falltoland","9/6/2012","국가의 안전보장과 국토방위의 신성한 임무를 수행해야 하는 군으로서는 그 사명을 다하기 위해 ‘종북세력 척결 정신교육'을 통해 장병들의 정신자세를 가다듬는 것은 당연하다."
"435",435,"harpesang","9/6/2012","반유대주의는 필연적으로 반미주의와 연결된다. 이스라엘의 이란 핵시설 공습을 앞두고 몇몇 강사와 단체는 '미국을 지배하는 가짜 유대인들이 전쟁을 획책한다'고 주장한다. 유대인 음모론은 종북주의자들의 단골 소재이기도 하다. by 김성욱"
"436",436,"odettejoo","9/6/2012","@###cekim2007 @###itus0헐.. 3시에 기자회견한게 그것때문인가요????
안철수 여자?"
"437",437,"odettejoo","9/6/2012","Rt그쵸 1년 전세도 전세긴하니깐ㅋㅋㅋㅋㅋ @###jxotn: RT @###kqhdi#dcin(만평) 1년 전세도 전세 산 거 아잉교ㅋㅋ -딱지 치기 안철수 -http://t.co/KCUWndJo"""
"438",438,"odettejoo","9/6/2012","안교수 개인적으로 훌륭하지만 지도자 감은 왠지...? ..... 기자회견까지 한것을 보면 대선출마를 할생각이신데.. 비겁하게 선방날리심.. 어서 검증을 받으셔야.. 그럼 그렇게 기자회견 할일도 없자너~~~ 국민들은 궁금하다구!"
"439",439,"odettejoo","9/6/2012","장군님 상중에 술 먹지 말라는 자들의 정체가 궁금하다....그런 놈이 통진당 비례대표라니.. 안철수님께서 세상에 빨갱이가 어디있냐고.. 종북의꽃인 민주당의 그분도 간첩이 어디있냐고 그러던데..이런사람은 뭐냐?자국민??ㅋㅋ"
"440",440,"taesan4","9/6/2012","청산가리녀 김규리(구 김민선)가 성폭행범 물리적 거세에 반대한다는 의견을 트윗에 올려 화제네요...거기까진 좋은데 유신이 부활하면(말하자면 박근혜가 대통령에 당선되면) 마구잡이로 남성들 거세할것 같아 두렵다는 트윗은 오버같아요? 원래 남자였나?"
"441",441,"taesan4","9/6/2012","민통당은 안철수 걱정하지 말고 지네 당 경선이나 신경쓰지...이해찬에게 보고한 송호창은 문재인이나 안철수가 당선되면 법무부장관이나 국정원장 할 태세네!"
"442",442,"tkcjsd","9/6/2012","과거 대학운동권이 학생과 괴리된 정치투쟁과 종북노선으로 점철됐던 것처럼 지금 민노총이 그 꼴이네요. 대다수 국민들이 반대하는 와중에도 강행한 총파업이 5명중 1명이라는 초라한 참여율이 말해주지만 경제적 손실은 수백억을 돌파했다는데 어떻게 책임질런지?"
"443",443,"clearlypang","9/7/2012","대선후보에 대한 시중에 떠도는 얘기를 국가 기관의 조직적 뒷조사 자료라며 우기다니 시대착오적 발상이다.지난번 총선때 민간인 사찰件을 이슈화하려다 언론에 공개된 사찰문건 80% 이상이 참여정부시절에 작성된 것으로 판명돼 되레 역풍 맞은것을 벌써잊었나?"
"444",444,"kiminhye0","9/8/2012","대한민국체제와 헌정질서를 파괴하고 종북에 목숨을 거는 일파들과 결연한 투쟁 에 나서야 한다. 북한 김정일과 노동당에 충성하는 자들을 대한민국 국민으로 인정하고 그들과 함께 살아갈 수는 없다"
"445",445,"kiminhye0","9/8/2012","반정부 시위는 종북좌익들의 주특기인데 유독 미국과 연관된 일에서 강하다. 반면 금강산 관광객 피살, 천안함, 연평도 등 북한에 의해 우리 국민이 죽거나 다친 사건에 대해 저들은 단 한 번도 시위를 안했다"
"446",446,"kiminhye0","9/9/2012","진정한 진보주의자라면 폐쇄적이요 반인간적인 북한에게 '당신들 이렇게 살면 안 된다'고 따끔하게 말해줘야 한다."
"447",447,"shore0987","9/9/2012","통진당의 내부 분열이 시작 되었군요, 강기갑 의원이 탈당을 선언 했죠, 진보라고 하던 사람들 뭐가 진보인지나 알고 진보라고 하는지 알수가 없어요?? 빨강색채를 띠면 몽땅 진보인지 뭍지 않을수가 없구요?? 진보라고 하시는 분들 빨강색이면 진보인가요??"
"448",448,"sungmin746","9/9/2012","종북당의 엑소더스가 시작됐다, 진보라는 사람들 나는 이해를 못하겠어요, 진보가 대체 무었인가??정부 비방하고, 헐뜻고, 대통령 욕하면 진보인가?? 거기다 한가지 더 북한 추종하면 완벽한 진보인가?? 진보라고 칭하는 사람들 대부분 빨갱이 종북이들아닌가?"
"449",449,"tpfkvldk","9/9/2012","통진당 의총에서 비례대표 의원 4명이 자신들을 제명하는 헌정 초유의 '셀프 제명'이 발생했다. 비례대표 의원은 탈당하면 의원직을 잃고 제명되면 의원직을 유지하기 때문이다. 꼼수정치는 이제 그만하고 국민 눈높이에서 국민을 섬기는 정당으로 거듭나길 바란다"
"450",450,"snailcharm","9/10/2012","우리나라 좌파 매체들이 일본의 X맨 역할을 하고 있다는 지적이 있어 무슨 말인가 봤더니... 일본 언론은 똘똘뭉쳐서 우리 대통령이 마치 일본왕 사죄 발언과 관련하여 입장 바꾼 것으로 왜곡보도하는데, 우리 언론은 대통령 비판에만 골몰하다고 꼬집었네요."
"451",451,"ddombang1","9/10/2012","학교폭력으로 많은 아이들이 목숨까지 끊어도 여러 나라에서 교내폭력 예방효과가 입증된 가해학생 학생부 기재 방안을 반대주장하는 좌파교육감들 피해자보다 가해자를 더 감싸 안아야 한다는 어설픈 온정주의를 대안으로 내놓은 건 공허한 외침일 뿐이다."
"452",452,"gubonsu","9/10/2012","북한이 수해지원 품목을 뭘 보낼것인가 미리 적어 보내라고 그랬죠?? 우리가 아무리 고개숙이고 들어가는 꼴이라지만 해도해도 너무 하는것이 꼭 종북당의 단면을 보는거 같네요, 종북이 4마리 살리기 위해 당이 개차반나는 판에, 그래도 대선에 나온다고??"
"453",453,"harpesang","9/10/2012","대한민국의 진보는 김정일 사망을 애도하는 분향소를 설치하고, 국가보안법을 위반하고, 북한을 김일성일가를 찬양하는 것을 두고 ‘통일운동’ 이라 우기고 있다."
"454",454,"odettejoo","9/10/2012","북한 대변인 민노총~ 대한민국 정통성 부정하는 질문으로 가득찬 도전 종북벨 울렸다네요.. 승자는 아이패드 100만원 짜리 가져갔다던데.. 놀구들 있네."
"455",455,"odettejoo","9/10/2012","더보기







최근 좌파, 친북, 종북, 이적단체들의 불법적인 시위선동으로 사회 혼란이 심각해지고 있는 가운데 대학생단체인 ‘한국대학생포럼’이 “이적단체 해산 법” 제정을 강력히 촉구해 관심을 모으고 있다.
오죽하면 대학생 뛰쳐 나왔겠나???"
"456",456,"odettejoo","9/10/2012","무엇보다 미래의 기둥인 대학생들이 앞장서 이적단체 추방에 나선 것에 박수를 보내고 싶다. 종북타령 악질들은 정신병자라서 때려잡을 수도 없고----방법은? 후일, 몰아서 한꺼번에 잡을수 없나??"
"457",457,"shore0987","9/10/2012","종북당의 실제 실세는 누구인가?? 대한민국 정당에 실제 주인이 있는가?? 그러나 강모씨의 주장대로 이섹끼의 지시없이는 이정0가 대선에 못 나온다고??
그럼 종북당의 실세는 이섹끼인가??종북당의 생각에 국고보조금이란 그들에게  눈먼 공작금일뿐인가??"
"458",458,"shore0987","9/10/2012","박정희때 만큼 기술인을 우대한적이 없었죠. 공고 나와서 기능인이 되어도 그냥저냥  먹고살수 있는 국가 분위기였습니다. 그런데 지금은 어떠한가요? 국가정책이 잘못되서 그런겁니다. 기능인도 기술인도 대우받는 세상이 되야 대한민국이 발전을 합니다"
"459",459,"type0789","9/10/2012","RT @###e0789: 김정은 독재정권이 무너지지 않는한 종북은 결코 없어지지 않을 것이다.아니 살아남기 위해 더욱 더 발악을 할것이다.우리는 이들 종북세력이라는 암적인 존재로 부터 자유민주주의 체제를 지켜야한다"
"460",460,"type0789","9/10/2012","RT @###e0789: 그 동안 통합진보당의 달콤한 거짓말에 속았던 당원들이 무더기로 통진당에서 탈퇴하고 있고, 4월 이후 밝혀진 통진당내 PD계, NL계, 경기동부연합의 실태가 하나 둘씩 밝혀지면서 .."
"461",461,"felixkim29","9/11/2012","충주 석종사 혜국 스님, ""자살은 자신밖에 모르는 건방진 놈의 짓""...그럼 노무현 전대통령은 뭔지요?"
"462",462,"harpesang","9/11/2012","법원이 이적단체로 규정했음에도 해당단체는 공공연하게 친북,종북활동을 계속하고 있는 것이 대한민국의 현실이다."
